ID,카드명,이미지파일명,코스트,카드설명,유형,속성,레어도,파워,히트,레벨,소속,키워드,제품명,IP,variant_key
BT01-007,클레이,BT01-007-P.jpg,2,,UNIT,화염,P,4000,1,,베이스;테트라,,AGF 2025 특전 프로모션 카드,승리의 여신: 니케,BT01-007-P
BT01-008,볼륨,BT01-008-C.jpg,3,[패시브] 필드에 있는 [어태커] 관통 을 가진 모든 자신 유닛의 파워+1500.,UNIT,화염,C,4000,1,,이펙트;테트라,패시브;어태커;관통,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-008-C
BT01-009,베이,BT01-009-C.jpg,3,[어태커] 이 공격이 끝날 때까지 파워+1000.,UNIT,화염,C,4500,1,,이펙트;테트라,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-009-C
BT01-010,아리아,BT01-010-C.jpg,3,,UNIT,화염,C,5000,1,,베이스;테트라,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-010-C
BT01-011,네온 : 블루 오션,BT01-011-R.jpg,4,"[액티브메인] 필드에 있는 상대 유닛을 1장 골라, 이 턴이 끝날 때까지 파워-1500.",UNIT,화염,R,4000,2,,이펙트;엘리시온,액티브메인;액티브,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-011-R
BT01-012,엠마-달링 레드,BT01-012-C.jpg,4,[엔트리] 이 턴이 끝날 때까지 필드에 있는 모든 자신 유닛은 「 [어태커] 이 공격이 끝날 때까지 파워+1000 」 을 얻는다.,UNIT,화염,C,5000,2,,이펙트;엘리시온,엔트리;어태커;「;」,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-012-C
BT01-012,엠마-달링 레드,BT01-012-P.jpg,4,[엔트리] 이 턴이 끝날 때까지 필드에 있는 모든 자신 유닛은 「 [어태커] 이 공격이 끝날 때까지 파워+1000 」 을 얻는다.,UNIT,화염,P,5000,2,,이펙트;엘리시온,엔트리;어태커;「;」,AGF 2025 특전 프로모션 카드,승리의 여신: 니케,BT01-012-P
BT01-013,자칼,BT01-013-C.jpg,4,[어태커] 이 공격이 끝날 때까지 파워+1000.,UNIT,화염,C,5500,2,,이펙트;미실리스,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-013-C
BT01-014,홍련 : 흑영,BT01-014-SPR.jpg,4,[패시브] 광전사 (이 유닛은 가능하다면 반드시 공격해야 한다). 트리거 / 이 카드를 트래시한다. 자신의 트래시 존에서 2코스트 이하인 유닛을 1장 골라 자신의 패에 넣는다.,UNIT,화염,SPR,7500,2,,이펙트;필그림,패시브;광전사;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-014-SPR
BT01-014,홍련 : 흑영,BT01-014-SR.jpg,4,[패시브] 광전사 (이 유닛은 가능하다면 반드시 공격해야 한다). 트리거 / 이 카드를 트래시한다. 자신의 트래시 존에서 2코스트 이하인 유닛을 1장 골라 자신의 패에 넣는다.,UNIT,화염,SR,7500,2,,이펙트;필그림,패시브;광전사;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-014-SR
BT01-015,누아르-흑묘,BT01-015-R.jpg,5,[엔트리] 이 턴이 끝날 때까지 조우 유닛의 파워-4000.,UNIT,화염,R,4500,2,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-015-R
BT01-015,누아르-흑묘,BT01-015-SR.jpg,5,[엔트리] 이 턴이 끝날 때까지 조우 유닛의 파워-4000.,UNIT,화염,SR,4500,2,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 스페셜 부스터 팩 2025 SB01,승리의 여신: 니케,BT01-015-SR
BT01-016,스노우 화이트 : 이노센트 데이즈,BT01-016-C.jpg,6,[어태커] 이 공격이 끝날 때까지 파워+2000.,UNIT,화염,C,7000,2,,이펙트;필그림,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-016-C
BT01-017,바이퍼-샤인 오브 러브,BT01-017-SPR.jpg,6,[엔트리] 이 턴이 끝날 때까지 조우 유닛의 파워가 1000이 된다.,UNIT,화염,SPR,5000,2,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-017-SPR
BT01-017,바이퍼-샤인 오브 러브,BT01-017-SR.jpg,6,[엔트리] 이 턴이 끝날 때까지 조우 유닛의 파워가 1000이 된다.,UNIT,화염,SR,5000,2,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-017-SR
BT01-018,블랑-백묘,BT01-018-R.jpg,7,[패시브] 필드에 있는 [어태커] 를 가진 모든 자신 유닛의 파워+2000.,UNIT,화염,R,7000,3,,이펙트;테트라,패시브;어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-018-R
BT01-019,레드 후드,BT01-019-SPR.jpg,8,[엔트리] 이 턴이 끝날 때까지 필드에 있는 모든 자신 유닛은 [어태커] 관통[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 상대에게 1대미지를 준다)을 얻는다. 트리거 / 이 카드를 자신의 패에 넣는다.,UNIT,화염,SPR,7000,3,,이펙트;필그림,엔트리;어태커;관통:1;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-019-SPR
BT01-019,레드 후드,BT01-019-UR.jpg,8,[엔트리] 이 턴이 끝날 때까지 필드에 있는 모든 자신 유닛은 [어태커] 관통[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 상대에게 1대미지를 준다)을 얻는다. 트리거 / 이 카드를 자신의 패에 넣는다.,UNIT,화염,UR,7000,3,,이펙트;필그림,엔트리;어태커;관통:1;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-019-UR
BT01-020,와일드 투스,BT01-020-C.jpg,1,필드에 있는 [어태커] 를 가진 유닛을 1장 고른다. 이 턴이 끝날 때까지 그 유닛은 [어태커] 관통[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 상대에게 1대미지를 준다)을 얻는다.,SKILL,화염,C,,,,,어태커;관통:1,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-020-C
BT01-021,포메이션 F.F,BT01-021-C.jpg,2,이 턴이 끝날 때까지 필드에 있는 모든 상대 유닛의 파워-1000.,SKILL,화염,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-021-C
BT01-022,압도,BT01-022-C.jpg,3,"필드에 있는 상대 유닛을 2장까지 골라, 이 턴이 끝날 때까지 파워-2000.",SKILL,화염,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-022-C
BT01-023,치얼업 투게더,BT01-023-C.jpg,3,이 턴이 끝날 때까지 필드에 있는 [어태커] 를 가진 모든 자신 유닛의 파워+2500.,SKILL,화염,C,,,,,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-023-C
BT01-024,피날레,BT01-024-R.jpg,3,"필드에 있는 상대 유닛을 1장 골라, 이 턴이 끝날 때까지 파워-3000. 이 효과로 그 유닛을 트래시했다면 카드를 1장 드로우한다.",SKILL,화염,R,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-024-R
BT01-024,피날레,BT01-024-SR.jpg,3,"필드에 있는 상대 유닛을 1장 골라, 이 턴이 끝날 때까지 파워-3000. 이 효과로 그 유닛을 트래시했다면 카드를 1장 드로우한다.",SKILL,화염,SR,,,,,,승리의 여신: 니케 니벨아레나 스페셜 부스터 팩 2025 SB01,승리의 여신: 니케,BT01-024-SR
BT01-025,아군 합류,BT01-025-C.jpg,4,자신의 트래시 존에서 [어태커] 를 가진 유닛을 1장 골라 자신의 패에 넣는다.,SKILL,화염,C,,,,,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-025-C
BT01-026,갓데시움 글러브,BT01-026-C.jpg,2,[장착조건 없음] [어태커] 관통[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 상대에게 1대미지를 준다). 트리거 / 이 카드를 자신의 패에 넣는다.,ITEM,화염,C,,,,,어태커;관통:1;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-026-C
BT01-027,노른 코드 고글,BT01-027-C.jpg,3,[장착조건 없음] [어태커] 이 공격이 끝날 때까지 파워+2000. [어태커] 약탈[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 카드를 1장 드로우한다).,ITEM,화염,C,,,,,어태커;약탈:1,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-027-C
BT01-028,홍련,BT01-028-L.jpg,,기본면 [서약] 자신의 덱에 [대지] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 필드에 있는 《베이스》를 가진 모든 자신 유닛의 파워+1000.,LEADER,대지,L,,,,필그림,서약;각성;패시브;기본면;각성면,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-028-L
BT01-028,홍련,BT01-028-SPL.jpg,,기본면 [서약] 자신의 덱에 [대지] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 필드에 있는 《베이스》를 가진 모든 자신 유닛의 파워+1000.,LEADER,대지,SPL,,,,필그림,서약;각성;패시브;기본면;각성면,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-028-SPL
BT01-029,벨로타,BT01-029-C.jpg,1,[엔트리] 상대의 턴이 끝날 때까지 파워+1000.,UNIT,대지,C,3000,1,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-029-C
BT01-030,미카 : 스노우 버디,BT01-030-C.jpg,1,[패시브] 전선구축[파워+3000] (자신의 모든 유닛 존에 유닛이 존재한다면 파워+3000).,UNIT,대지,C,2000,1,,이펙트;테트라,패시브;전선구축,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-030-C
BT01-031,앤 : 미라클 페어리,BT01-031-C.jpg,1,,UNIT,대지,C,3500,1,,베이스;미실리스,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-031-C
BT01-032,신,BT01-032-C.jpg,2,[패시브] 이 유닛의 파워가 필드에 있는 《베이스》를 가진 자신 유닛의 수×500만큼 증가한다.,UNIT,대지,C,4000,1,,이펙트;미실리스,패시브,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-032-C
BT01-033,도라-다크 로즈,BT01-033-P.jpg,2,[엔트리] 이 턴이 끝날 때까지 히트+1.,UNIT,대지,P,2500,1,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 프로모션 카드,승리의 여신: 니케,BT01-033-P
BT01-033,도라-다크 로즈,BT01-033-R.jpg,2,[엔트리] 이 턴이 끝날 때까지 히트+1.,UNIT,대지,R,2500,1,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-033-R
BT01-034,길티-디스빌리프 웨이브,BT01-034-SPR.jpg,2,트리거 / 이 카드를 자신의 패에 넣는다.,UNIT,대지,SPR,5500,1,,베이스;미실리스,트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-034-SPR
BT01-034,길티-디스빌리프 웨이브,BT01-034-SR.jpg,2,트리거 / 이 카드를 자신의 패에 넣는다.,UNIT,대지,SR,5500,1,,베이스;미실리스,트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-034-SR
BT01-035,솔린,BT01-035-C.jpg,3,[어태커] 돌파[1코스트 이하] (1코스트 이하인 상대 유닛은 이 유닛의 공격을 방어할 수 없다).,UNIT,대지,C,4500,1,,이펙트;엘리시온,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-035-C
BT01-036,퀀시,BT01-036-C.jpg,3,[패시브] 필드에 있는 《베이스》를 가진 모든 자신 유닛의 파워+2000.,UNIT,대지,C,3500,1,,이펙트;미실리스,패시브,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-036-C
BT01-036,퀀시,BT01-036-P.jpg,3,[패시브] 필드에 있는 《베이스》를 가진 모든 자신 유닛의 파워+2000.,UNIT,대지,P,3500,1,,이펙트;미실리스,패시브,AGF 2025 특전 프로모션 카드,승리의 여신: 니케,BT01-036-P
BT01-037,디젤-미드나잇 스트로베리,BT01-037-P.jpg,3,[패시브] 전선구축[히트+1] (자신의 모든 유닛 존에 유닛이 존재한다면 히트+1).,UNIT,대지,P,4500,1,,이펙트;엘리시온,패시브;전선구축,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 프로모션 카드,승리의 여신: 니케,BT01-037-P
BT01-037,디젤-미드나잇 스트로베리,BT01-037-R.jpg,3,[패시브] 전선구축[히트+1] (자신의 모든 유닛 존에 유닛이 존재한다면 히트+1).,UNIT,대지,R,4500,1,,이펙트;엘리시온,패시브;전선구축,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-037-R
BT01-038,루피,BT01-038-C.jpg,4,"[액티브메인] 자신의 패를 1장 골라 트래시한다. 그러면 필드에 있는 자신 유닛을 1장 골라, 이 턴이 끝날 때까지 파워+4000.",UNIT,대지,C,4000,2,,이펙트;테트라,액티브메인;액티브,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-038-C
BT01-038,루피,BT01-038-P.jpg,4,"[액티브메인] 자신의 패를 1장 골라 트래시한다. 그러면 필드에 있는 자신 유닛을 1장 골라, 이 턴이 끝날 때까지 파워+4000.",UNIT,대지,P,4000,2,,이펙트;테트라,액티브메인;액티브,AGF 2025 특전 프로모션 카드,승리의 여신: 니케,BT01-038-P
BT01-039,스노우 화이트-화이트 나이트,BT01-039-R.jpg,4,[엔트리] 상대의 턴이 끝날 때까지 파워+3000.,UNIT,대지,R,5000,2,,이펙트;필그림,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-039-R
BT01-040,루피 : 윈터 쇼퍼,BT01-040-SPR.jpg,4,[패시브] 이 유닛의 파워가 자신의 리더 레벨×500만큼 증가한다. [패시브] 레벨링크[10: 히트+1] (자신의 리더 레벨이 10 이상이라면 히트+1).,UNIT,대지,SPR,4000,2,,이펙트;테트라,패시브;레벨링크,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-040-SPR
BT01-040,루피 : 윈터 쇼퍼,BT01-040-SR.jpg,4,[패시브] 이 유닛의 파워가 자신의 리더 레벨×500만큼 증가한다. [패시브] 레벨링크[10: 히트+1] (자신의 리더 레벨이 10 이상이라면 히트+1).,UNIT,대지,SR,4000,2,,이펙트;테트라,패시브;레벨링크,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-040-SR
BT01-041,얀-선라이즈 마켓,BT01-041-C.jpg,5,"[엔트리] 필드에 있는 자신 유닛을 1장 골라, 이 턴이 끝날 때까지 파워+2000.",UNIT,대지,C,6500,2,,이펙트;테트라,엔트리,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-041-C
BT01-042,나가,BT01-042-R.jpg,5,,UNIT,대지,R,7500,2,,베이스;미실리스,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-042-R
BT01-043,티아,BT01-043-R.jpg,6,,UNIT,대지,R,8500,2,,베이스;미실리스,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-043-R
BT01-043,티아,BT01-043-SR.jpg,6,,UNIT,대지,SR,8500,2,,베이스;미실리스,,승리의 여신: 니케 니벨아레나 스페셜 부스터 팩 2025 SB01,승리의 여신: 니케,BT01-043-SR
BT01-044,라푼젤,BT01-044-SPR.jpg,6,"[엔트리] 자신의 덱 맨 위에서 카드를 3장 공개하고, 그 중 《베이스》를 가진 유닛을 1장 골라 자신의 패에 넣는다. 나머지는 모두 다시 덱에 넣고 섞는다. 트리거 / 이 카드를 트래시한다. 자신의 리더 레벨+1.",UNIT,대지,SPR,8000,2,,이펙트;필그림,엔트리;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-044-SPR
BT01-044,라푼젤,BT01-044-SR.jpg,6,"[엔트리] 자신의 덱 맨 위에서 카드를 3장 공개하고, 그 중 《베이스》를 가진 유닛을 1장 골라 자신의 패에 넣는다. 나머지는 모두 다시 덱에 넣고 섞는다. 트리거 / 이 카드를 트래시한다. 자신의 리더 레벨+1.",UNIT,대지,SR,8000,2,,이펙트;필그림,엔트리;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-044-SR
BT01-045,브리드-블랙 문,BT01-045-C.jpg,7,[패시브] 필드에 있는 1코스트인 모든 자신 유닛의 파워+2000.,UNIT,대지,C,7500,3,,이펙트;엘리시온,패시브,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-045-C
BT01-046,홍련,BT01-046-SPR.jpg,8,[엔트리] 필드에 있는 《베이스》를 가진 자신 유닛을 1장 고른다. 이 턴이 끝날 때까지 그 유닛은 [어태커] 돌파[3코스트 이하] (3코스트 이하인 상대 유닛은 이 유닛의 공격을 방어할 수 없다)를 얻는다. 트리거 / 이 카드를 자신의 패에 넣는다.,UNIT,대지,SPR,8000,3,,이펙트;필그림,엔트리;어태커;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-046-SPR
BT01-046,홍련,BT01-046-UR.jpg,8,[엔트리] 필드에 있는 《베이스》를 가진 자신 유닛을 1장 고른다. 이 턴이 끝날 때까지 그 유닛은 [어태커] 돌파[3코스트 이하] (3코스트 이하인 상대 유닛은 이 유닛의 공격을 방어할 수 없다)를 얻는다. 트리거 / 이 카드를 자신의 패에 넣는다.,UNIT,대지,UR,8000,3,,이펙트;필그림,엔트리;어태커;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-046-UR
BT01-047,순백의 의지,BT01-047-C.jpg,1,필드에 있는 《베이스》를 가진 1코스트인 자신 유닛을 1장 고른다. 이 턴이 끝날 때까지 그 유닛의 히트가 2가 된다.,SKILL,대지,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-047-C
BT01-048,파란 나비의 꿈,BT01-048-C.jpg,2,현재 필드에 있는 모든 자신 유닛은 상대의 턴이 끝날 때까지 파워+500.,SKILL,대지,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-048-C
BT01-049,디저트 타임,BT01-049-C.jpg,3,필드에 있는 《베이스》를 가진 자신 유닛의 수만큼 카드를 드로우한다.,SKILL,대지,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-049-C
BT01-050,설온제,BT01-050-C.jpg,3,자신의 모든 유닛 존에 유닛이 존재한다면 현재 필드에 있는 모든 자신 유닛은 상대의 턴이 끝날 때까지 파워+1500.,SKILL,대지,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-050-C
BT01-051,VIP 기프트,BT01-051-R.jpg,3,"자신의 덱 맨 위에서 카드를 3장 공개하고, 그 중 3코스트 이하인 카드를 모두 자신의 패에 넣는다. 나머지는 모두 다시 덱에 넣고 섞는다. 트리거 / 이 카드를 트래시한다. 필드에 있는 3코스트 이하인 상대 유닛을 1장 골라 트래시한다.",SKILL,대지,R,,,,,트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-051-R
BT01-052,검신합일,BT01-052-C.jpg,4,현재 필드에 있는 《베이스》를 가진 모든 자신 유닛은 이 턴이 끝날 때까지 히트+1.,SKILL,대지,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-052-C
BT01-053,갓데시움 프로텍터,BT01-053-C.jpg,2,[장착조건 4코스트이하] [어태커] 돌파[2코스트 이하] (2코스트 이하인 상대 유닛은 이 유닛의 공격을 방어할 수 없다).,ITEM,대지,C,,,,,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-053-C
BT01-054,아틀라스 패턴 건틀렛,BT01-054-C.jpg,4,[장착조건 없음] 파워+5000.,ITEM,대지,C,,,,,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-054-C
BT01-055,신데렐라,BT01-055-L.jpg,,"기본면 [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 자신과 상대의 턴마다 한 번씩, 필드에서 5코스트 이상인 자신 유닛이 트래시되면 카드를 1장 드로우한다.",LEADER,폭풍,L,,,,필그림,서약;각성;패시브;기본면;각성면,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-055-L
BT01-055,신데렐라,BT01-055-P.jpg,,"기본면 [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 자신과 상대의 턴마다 한 번씩, 필드에서 5코스트 이상인 자신 유닛이 트래시되면 카드를 1장 드로우한다.",LEADER,폭풍,P,,,,필그림,서약;각성;패시브;기본면;각성면,2025 KCS 1st 시즌 특전 카드,승리의 여신: 니케,BT01-055-P
BT01-055,신데렐라,BT01-055-SPL.jpg,,"기본면 [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 자신과 상대의 턴마다 한 번씩, 필드에서 5코스트 이상인 자신 유닛이 트래시되면 카드를 1장 드로우한다.",LEADER,폭풍,SPL,,,,필그림,서약;각성;패시브;기본면;각성면,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-055-SPL
